Date,location,actual_volume,best_forecast,selected_model,forecast_error,absolute_error
2026-03-11,2,476.0,387.3167724609375,XGBoost,-88.6832275390625,88.6832275390625
2026-03-12,2,177.0,362.982177734375,XGBoost,185.982177734375,185.982177734375
2026-03-13,2,429.0,365.33087158203125,XGBoost,-63.66912841796875,63.66912841796875
2026-03-14,2,0.0,7.775685787200928,XGBoost,7.775685787200928,7.775685787200928
2026-03-15,2,0.0,9.326484680175781,XGBoost,9.326484680175781,9.326484680175781
2026-03-16,2,520.0,475.61309814453125,XGBoost,-44.38690185546875,44.38690185546875
2026-03-17,2,540.0,511.6525573730469,XGBoost,-28.347442626953125,28.347442626953125
2026-03-18,2,212.0,382.9595642089844,XGBoost,170.95956420898438,170.95956420898438
2026-03-19,2,367.0,375.4043273925781,XGBoost,8.404327392578125,8.404327392578125
2026-03-20,2,439.0,356.32379150390625,XGBoost,-82.67620849609375,82.67620849609375
2026-03-21,2,0.0,11.330090522766113,XGBoost,11.330090522766113,11.330090522766113
2026-03-22,2,0.0,13.673308372497559,XGBoost,13.673308372497559,13.673308372497559
2026-03-23,2,344.0,475.9250183105469,XGBoost,131.92501831054688,131.92501831054688
2026-03-24,2,329.0,499.4104919433594,XGBoost,170.41049194335938,170.41049194335938
2026-03-25,2,4.0,393.2688903808594,XGBoost,389.2688903808594,389.2688903808594
2026-03-26,2,198.0,393.677978515625,XGBoost,195.677978515625,195.677978515625
2026-03-27,2,260.0,299.8409118652344,XGBoost,39.840911865234375,39.840911865234375
2026-03-28,2,0.0,11.776453971862793,XGBoost,11.776453971862793,11.776453971862793
2026-03-29,2,0.0,13.327252388000488,XGBoost,13.327252388000488,13.327252388000488
2026-03-30,2,471.0,480.1081848144531,XGBoost,9.108184814453125,9.108184814453125
2026-03-31,2,554.0,495.93353271484375,XGBoost,-58.06646728515625,58.06646728515625
2026-04-01,2,540.0,403.6805419921875,XGBoost,-136.3194580078125,136.3194580078125
2026-04-02,2,576.0,399.01507568359375,XGBoost,-176.98492431640625,176.98492431640625
2026-04-03,2,0.0,68.05388641357422,XGBoost,68.05388641357422,68.05388641357422
2026-04-04,2,0.0,15.672552108764648,XGBoost,15.672552108764648,15.672552108764648
2026-03-08,3,0.0,123.34084008526084,Holiday SARIMA,123.34084008526084,123.34084008526084
2026-03-09,3,3550.0,2634.9522001758096,Holiday SARIMA,-915.0477998241904,915.0477998241904
2026-03-10,3,3701.0,3098.425075425784,Holiday SARIMA,-602.5749245742159,602.5749245742159
2026-03-11,3,3324.0,3003.9530319564665,Holiday SARIMA,-320.0469680435335,320.0469680435335
2026-03-12,3,3152.0,3010.9318476884832,Holiday SARIMA,-141.06815231151677,141.06815231151677
2026-03-13,3,3048.0,2798.3540647649197,Holiday SARIMA,-249.6459352350803,249.6459352350803
2026-03-14,3,0.0,81.16485541262824,Holiday SARIMA,81.16485541262824,81.16485541262824
2026-03-15,3,0.0,101.58453099135474,Holiday SARIMA,101.58453099135474,101.58453099135474
2026-03-16,3,2561.0,2614.97365225007,Holiday SARIMA,53.97365225006979,53.97365225006979
2026-03-17,3,3243.0,3080.079023459971,Holiday SARIMA,-162.9209765400292,162.9209765400292
